State ,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Telangana,PEDDAPALLI,Cowpea(Lobia),2019,Kharif     ,14,10,0.71
Telangana,PEDDAPALLI,Cowpea(Lobia),2019,Rabi       ,11,11,1
Telangana,RAJANNA,Cowpea(Lobia),2016,Kharif     ,28,5,0.18
Telangana,RAJANNA,Cowpea(Lobia),2016,Rabi       ,15,32,2.13
Telangana,RAJANNA,Cowpea(Lobia),2017,Kharif     ,30,30,1
Telangana,RAJANNA,Cowpea(Lobia),2017,Rabi       ,5,7,1.4
Telangana,RAJANNA,Cowpea(Lobia),2018,Kharif     ,1,1,1
Telangana,RAJANNA,Cowpea(Lobia),2018,Rabi       ,6,7,1.17
Telangana,RAJANNA,Cowpea(Lobia),2019,Kharif     ,10,7,0.7
Telangana,RAJANNA,Cowpea(Lobia),2019,Rabi       ,3,3,1
Telangana,RANGAREDDI,Cowpea(Lobia),2013,Kharif     ,120,58,0.48
Telangana,RANGAREDDI,Cowpea(Lobia),2013,Rabi       ,324,265,0.82
Telangana,RANGAREDDI,Cowpea(Lobia),2014,Kharif     ,89,67,0.75
Telangana,RANGAREDDI,Cowpea(Lobia),2014,Rabi       ,142,139,0.98
Telangana,RANGAREDDI,Cowpea(Lobia),2015,Kharif     ,35,18,0.51
Telangana,RANGAREDDI,Cowpea(Lobia),2015,Rabi       ,56,150,2.68
Telangana,RANGAREDDI,Cowpea(Lobia),2016,Kharif     ,1,1,1
Telangana,RANGAREDDI,Cowpea(Lobia),2019,Kharif     ,4,3,0.75
Telangana,RANGAREDDI,Cowpea(Lobia),2019,Rabi       ,3,3,1
Telangana,SANGAREDDY,Cowpea(Lobia),2019,Kharif     ,12,8,0.67
Telangana,SANGAREDDY,Cowpea(Lobia),2019,Rabi       ,2,2,1
Telangana,SIDDIPET,Cowpea(Lobia),2016,Kharif     ,397,296,0.75
Telangana,SIDDIPET,Cowpea(Lobia),2016,Rabi       ,642,724,1.13
Telangana,SIDDIPET,Cowpea(Lobia),2017,Kharif     ,373,576,1.54
Telangana,SIDDIPET,Cowpea(Lobia),2017,Rabi       ,307,434,1.41
Telangana,SIDDIPET,Cowpea(Lobia),2018,Kharif     ,290,356,1.23
